Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Jianlian Yi,2007,NA,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,NA,NA,NA
Andris Biedrins,2004,11,NA,NA,NA,NA,NA,NA,-,9.3,NA,NA,NA,NA,NA
Blake Stepp,2004,58,NA,NA,NA,NA,NA,NA,-,8,NA,NA,NA,NA,NA
Dee Brown,2005,NA,71,72,74,94,NA,NA,179,NA,NA,NA,NA,NA,NA
Dijon Thompson,2005,54,78.25,80,81.75,105.5,NA,NA,195.8,NA,NA,NA,NA,NA,NA
Roger Powell,2005,NA,76.75,78,83.5,104,NA,NA,218.6,NA,NA,NA,NA,NA,NA
Peter Fehse,2002,48,82,NA,84.5,109,NA,NA,220,NA,NA,NA,NA,NA,NA
Ceedric Goodwyn,2000,NA,78,,82,104.5,NA,NA,238,NA,NA,NA,NA,NA,NA
Chris Massie,2002,NA,78.25,,84,107,NA,NA,248,NA,NA,NA,NA,NA,NA
Jason Maxiell,2005,26,77,78.25,87.25,107,NA,NA,257.6,NA,NA,NA,NA,NA,NA
Kevin Pittsnogle,2005,NA,81.25,82.25,82.5,106,NA,NA,259.2,NA,NA,NA,NA,NA,NA
Charles Hathaway,2001,NA,80,,86,107.5,NA,NA,274,NA,NA,NA,NA,NA,NA
Markelle Fultz,2017,1,,,,,NA,NA,-,NA,NA,NA,NA,NA,NA
John Riek,2008,NA,82.5,84,92.75,NA,NA,NA,237,11,NA,NA,NA,NA,NA
Sergei Lishouk,2004,49,82.25,83.5,84,109.5,NA,NA,244,10.5,NA,NA,NA,NA,NA
Richard Roby,2008,NA,76.25,77.5,81.75,104,NA,NA,203,9.2,NA,NA,NA,NA,NA
Herve Lamizana,2004,NA,79.5,80.5,85.5,107,NA,NA,210,6.7,NA,NA,NA,NA,NA
Andre Emmett,2004,35,75.5,76.5,81,100,NA,NA,216,6.7,NA,NA,NA,NA,NA
LeBron James,2003,1,79.25,NA,84.25,106.25,NA,NA,245,6.7,NA,NA,NA,NA,NA
Hasheem Thabeet,2009,2,85.25,86.5,90.25,113,NA,NA,267.2,6.7,NA,NA,NA,NA,NA
DeMarre Carroll,2009,27,78.25,79.75,82,105,NA,NA,207.2,6.3,NA,NA,NA,NA,NA
Tim Pickett,2004,44,75,76.25,79.5,100.5,NA,NA,207,6,NA,NA,NA,NA,NA
Dexter Pittman,2010,32,81.5,83.5,90,111,NA,NA,302.6,20.8,10.25,10.5,NA,NA,NA
Isaac Haas,2018,NA,85.25,86.75,89,111.5,NA,NA,303,12.55,10,10.5,NA,NA,NA
Jaren Jackson,2018,NA,81.75,83.25,89.25,110,NA,NA,236,7.2,10,10,NA,NA,NA
Mohamed Bamba,2018,NA,83.25,84.75,94,115.5,NA,NA,225.6,6.2,9.75,10.25,NA,NA,NA
Caleb Swanigan,2017,26,79.5,80.5,87,108,NA,NA,245.6,NA,9.5,10.25,NA,NA,NA
OG Anunoby,2017,23,78.25,79.75,86.25,107.5,NA,NA,232.4,6.8,9.25,9.5,NA,NA,NA
D.J. Wilson,2017,17,80.75,82.5,87,109.5,NA,NA,234.4,6.4,9.25,10.25,NA,NA,NA
Chris Boucher,2017,NA,80,81.5,88,110.5,NA,NA,182.2,5.4,9.25,10.5,NA,NA,NA
Johnathan Motley,2017,NA,79.75,80.75,88,108,NA,NA,238.2,NA,9,9.5,NA,NA,NA
Justin Jackson,2018,43,78,78.75,87,105,NA,NA,229.4,8.9,9,9.5,NA,NA,NA
Jerome Jordan,2010,44,83.5,84.75,89.25,113,NA,NA,244.2,6.9,9,10.25,NA,NA,NA
Jerome Robinson,2018,13,76,77,79.25,98,NA,NA,188.4,6.05,9,10,NA,NA,NA
Miles Bridges,2018,12,77.25,78.75,81.5,103.5,NA,NA,220.4,5.9,9,9.75,NA,NA,NA
Shai Gilgeous-Alexander,2018,11,76.5,78,83.5,104,NA,NA,180,3,9,9,NA,NA,NA
Zach Collins,2017,10,82.25,84,85,111,NA,NA,232.2,8.9,8.75,9.25,NA,NA,NA
Alec Peters,2017,54,79.25,80.75,82.75,105,NA,NA,232,8.8,8.75,10,NA,NA,NA
Michael Porter,2018,NA,81.5,82.75,84.25,108.5,NA,NA,211,6.4,8.75,9.25,NA,NA,NA
Kevin Knox,2018,9,79.75,81,83.75,108,NA,NA,212.6,4.95,8.75,9.25,NA,NA,NA
Wendell Carter,2018,NA,80.75,82,88.5,109,NA,NA,251.4,7.85,8.5,9,NA,NA,NA
Keenan Evans,2018,NA,73.5,75,77.25,98,NA,NA,183.2,6.5,8.5,8,NA,NA,NA
De?Aaron Fox,2017,5,74,75.25,78.5,100,NA,NA,169.6,4.5,8.5,8.5,NA,NA,NA
Kyrie Irving,2011,1,73.75,75.5,76,99,NA,NA,191,10.2,8.25,9.25,NA,NA,NA
Edmond Sumner,2017,52,76,77.75,81,102.5,NA,NA,176.4,8.3,8.25,9,NA,NA,NA
Collin Sexton,2018,8,72.5,73.5,79.25,98.5,NA,NA,183,5.6,8.25,8.5,NA,NA,NA
Luke Kennard,2017,12,76.5,77.5,77.25,98.5,NA,NA,196.2,6.6,8,8.75,NA,NA,NA
Trae Young,2018,5,72.5,73.75,75,95.5,NA,NA,177.8,5.35,8,9.25,NA,NA,NA
Greivis Vasquez,2010,28,77,78.5,79,101,NA,NA,210.8,8.6,7.75,9.25,NA,NA,NA
Jon Scheyer,2010,NA,76.75,78,75.25,99,NA,NA,180,5.4,7.75,9.5,NA,NA,NA
Sam Hoskin,2003,NA,79.25,,82.75,107.5,NA,NA,261,NA,NA,NA,24,NA,NA
Justin Doellman,2007,NA,80,81.5,80.75,105,NA,NA,205,7,NA,NA,19,NA,NA
David Lucas,2005,NA,78.5,79.75,84,103.5,NA,NA,233.4,NA,NA,NA,17,NA,NA
Jared Homan,2005,NA,79.75,80.75,85.25,104.5,NA,NA,248.2,NA,NA,NA,16,NA,NA
John Edwards,2004,NA,83.25,85,88.5,113,NA,NA,264,14.1,NA,NA,15,NA,NA
Jamar Butler,2008,NA,72.25,73.5,76.75,97,NA,NA,182,6,NA,NA,15,NA,NA
Longar Longar,2008,NA,81,82,85.25,109.5,NA,NA,212.5,10.6,NA,NA,14,NA,NA
Mario Kasun,2002,40,83.75,NA,83.5,109,NA,NA,260,NA,NA,NA,12,NA,NA
Chris Marcus,2003,NA,84,,92,114,NA,NA,334,23.1,NA,NA,12,NA,NA
Steve Logan,2002,29,70,NA,71.75,92.5,NA,NA,207,NA,NA,NA,11,NA,NA
Thomas Welsh,2017,NA,83.5,84.5,84,109.5,NA,NA,254,10.9,9,10.5,11,NA,NA
Manny Harris,2010,NA,76,77.5,79.25,102,NA,NA,185.1,3.8,8.5,9,11,NA,NA
Chris Owens,2002,47,79,NA,83.5,104,NA,NA,237,NA,NA,NA,10,NA,NA
J.R. Giddens,2008,30,76,76.75,83.25,103,NA,NA,208,5.4,NA,NA,10,NA,NA
Immanuel McElroy,2002,NA,74.25,,78.5,100,NA,NA,191,NA,NA,NA,9,NA,NA
Marcus Campbell,2005,NA,82.25,84.25,90,114,NA,NA,280.4,NA,NA,NA,9,NA,NA
Antonio Burks,2004,36,72,72.75,78.5,96.5,NA,NA,191,9.9,NA,NA,9,NA,NA
Eric Bledsoe,2010,18,72.25,73.5,79.5,98,NA,NA,191.6,5.6,8.5,9.75,9,NA,NA
Israel Sheinfeld,2002,NA,80.25,,81.75,106.5,NA,NA,239,NA,NA,NA,8,NA,NA
Brandon Kurtz,2000,NA,81.5,,83.25,106.5,NA,NA,257,NA,NA,NA,7,NA,NA
Pat Calathes,2008,NA,80.75,81.75,81.75,106,NA,NA,204,7.3,NA,NA,7,NA,NA
Rod Grizzard,2002,38,78,NA,84,107,NA,NA,193,NA,NA,NA,6,NA,NA
Brandin Knight,2003,NA,71.75,,78,95.5,NA,NA,190,10.5,NA,NA,6,NA,NA
Shawn James,2008,NA,79.75,81,89,111,NA,NA,217,9.2,NA,NA,6,NA,NA
Nemanja Aleksandrov,2005,NA,82,84,83,110,NA,NA,220.6,NA,NA,NA,5,NA,NA
Paul George,2010,10,79.75,80.75,83.25,107,NA,NA,214.4,5,8.5,9,4,NA,NA
Mo Williams,2003,47,72.75,NA,77.5,98.5,NA,NA,189,6.7,NA,NA,3,NA,NA
Ernest Brown,2000,52,82,NA,85.25,109.5,NA,NA,222.5,NA,NA,NA,2,NA,NA
Beno Udrih,2004,28,74.5,75.75,76.5,98,NA,NA,199,9.3,NA,NA,2,NA,NA
Tony Bobbitt,2004,NA,74.75,76,79,100,NA,NA,185,7.3,NA,NA,1,NA,NA
Jamal Crawford,2000,8,76.5,NA,82,102.5,NA,NA,175,NA,NA,NA,0,NA,NA
Lenny Cooke,2002,NA,77.5,,85,107,NA,NA,214,NA,NA,NA,0,NA,NA
Sasha Vujacic,2003,NA,77.5,,77.5,101,NA,NA,193,14.1,NA,NA,0,NA,NA
Shaheen Holloway,2000,NA,69.5,,70,91,NA,NA,174,NA,NA,NA,6,11.22,3.32
Luke Walton,2003,32,79.75,NA,80.5,104,NA,28,235,9.3,NA,NA,12,NA,NA
Sean Singletary,2008,42,71,72,76.5,95,NA,26,183.8,4.2,NA,NA,18,NA,NA
Kenny Gregory,2001,NA,75.5,,83.25,101,45.5,39.5,200,6.7,NA,NA,10,11.33,3.1
Hamidou Diallo,2017,NA,75.75,77,83.25,101.5,44.5,34.5,197.4,5.2,8.5,9.5,0,10.88,3.11
Tim Bowers,2004,NA,72.5,73.75,81,98,43.5,37,181,2.6,NA,NA,13,11.24,3.21
Nate Robinson,2004,NA,67.75,69,73,91.5,43.5,35.5,181,6.7,NA,NA,13,10.75,2.96
Matt Santangelo,2000,NA,72,,75,94,43,33.5,177,NA,NA,NA,12,10.66,3.06
Jamario Moon,2001,NA,78.5,,83.5,103,43,33,185,5.3,NA,NA,0,11.64,3.08
Alex Scales,2000,NA,74.25,,81,97.5,42.5,38.5,184.5,NA,NA,NA,10,10.98,3.21
Speedy Claxton,2000,20,70.5,NA,72,94.5,42.5,36,166,NA,NA,NA,6,10.48,3.06
Iman Shumpert,2011,17,76.25,77.5,81.5,99.5,42,36.5,221.8,6.5,9,9,18,11.1,3.18
Patrick Ewing Jr.,2008,NA,78,79.25,84.25,97.5,42,35,224,9.4,NA,NA,2,11.77,3.43
Frank Jackson,2017,31,74,75.5,79.5,98,42,34.5,201.6,6.7,8.25,9,9,10.94,3.14
Donte DiVincenzo,2018,17,75.5,76.5,78,97.5,42,34.5,200.6,5,8.25,9,12,10.72,3.11
Jordan Farmar,2006,26,72.75,74,75,94.5,42,33.5,171,4.4,NA,NA,11,11.07,3.17
Josh Okogie,2018,20,75,76.5,84,102,42,33,210.8,5.2,9,9.75,12,11.08,3.04
Josh Selby,2011,49,73.75,75,77.25,98,42,29.5,194.6,7.9,8.5,9,5,11.13,3.2
Ronald Dupree,2003,NA,78,,80.25,101,41.5,37.5,209,6.7,NA,NA,11,11.09,3.23
Dwayne Mitchell,2006,NA,74,75.25,78.5,98.5,41.5,37.5,208,4.5,NA,NA,17,11.45,3.16
Devin Robinson,2017,NA,79,80.25,84.75,106,41.5,35.5,189.6,3.2,9.25,10.25,10,12.85,3.23
Cookie Belcher,2001,NA,75,,80.5,99,41.5,35,206,5.3,NA,NA,7,11.26,2.91
Trevon Duval,2018,NA,73.5,74.5,80.25,97.5,41.5,34,191,5.2,8.75,10,6,10.93,3.18
Zhaire Smith,2018,16,74.75,76,81.75,100,41.5,33,198.6,6.05,8.75,8.25,10,11.02,3.05
Anfernee Simons,2018,24,74.25,75.25,81.25,99.5,41.5,32,183.2,7.7,8.75,9,1,11.27,3.1
Al Thornton,2007,14,77.75,79,85,104,41,35,221,5.8,NA,NA,9,11.96,3.16
Ronnie Brewer,2006,14,77.75,78.75,83.25,103.5,41,35,223,5,NA,NA,19,11.32,3.14
Bryce Taylor,2008,NA,74.75,76.25,81,99.5,41,34.5,210,8.3,NA,NA,16,11.08,3.19
Doug Wrenn,2003,NA,77.75,,91.5,100.5,41,34.5,220,7.3,NA,NA,15,11.38,3.17
Horace Jenkins,2001,NA,71.75,,77.25,97,41,34.5,171,6,NA,NA,2,10.97,3.1
Troy Bell,2003,16,72.25,NA,77,97.5,41,34.5,178,5.3,NA,NA,17,10.89,3.06
Frank Mason III,2017,NA,71,72,75.25,94,41,34,188.8,4.3,8,9.25,15,11.41,3.18
Bobby Brown,2007,NA,71,73.75,76,95.5,41,32.5,170,6.6,NA,NA,3,11.27,3.25
O.J. Mayo,2008,3,75.25,76.25,78,99.5,41,30.5,200,6.3,NA,NA,7,11.04,3.14
DeMarcus Minor,2001,NA,75.25,,80.25,99.5,41,29,207,6.7,NA,NA,9,10.57,3.15
Nick Young,2007,16,77,78.75,84,100.5,40.5,39.5,206,6.8,NA,NA,6,11,3.25
Donovan Mitchell,2017,13,73.25,75,82,97,40.5,36.5,211.4,5.9,8.5,9.5,10,11.53,3.01
Matt Barnes,2002,45,78.75,NA,81,96.5,40.5,35.5,226,NA,NA,NA,11,10.68,3.28
Mike Conley,2007,4,71,72.75,77.75,94.5,40.5,35.5,175,4.2,NA,NA,13,11.63,3.09
Semi Ojeleye,2017,37,77.25,78.75,81.75,102,40.5,35,241.4,5.5,8.75,9.5,19,10.58,3.16
Brandon Roy,2006,6,77.25,78.25,80,101,40.5,34,207,7.6,NA,NA,6,11.13,3.27
Derrick Zimmerman,2003,40,73,NA,81,96.25,40.5,34,190,5.3,NA,NA,13,11.09,3.1
Rudy Gay,2006,8,79,80,87,107.5,40.5,33,222,5.7,NA,NA,9,11.03,3.32
Michael Hicks,2001,NA,76,,81.25,100.5,40.5,33,197,7.3,NA,NA,13,11.38,3.19
Travis Leslie,2011,47,75,76.25,82.5,103,40.5,33,205,8.1,8.75,9.25,10,11,3.13
Will Bynum,2005,NA,70.5,71.5,75.5,93,40.5,33,188.8,NA,NA,NA,15,11.12,3
Rawle Alkins,2018,NA,74.75,76.25,80.75,99,40.5,32.5,217.4,8.9,8.5,10,10,11.5,3.15
Grayson Allen,2018,21,75,76.5,79.25,97,40.5,32.5,198,5.55,8.25,10,NA,10.31,3.15
Hamidou Diallo,2018,45,76.25,78,83.5,103,40.5,32.5,197,4.45,8.75,9,1,10.53,3.1
Rawle Alkins,2017,NA,74.5,75.75,80.75,99,40.5,31.5,222.6,11,8.75,10,7,11.99,3.3
Melvin Frazier,2018,NA,76.5,78,85.75,105,40.5,31,198.2,7.9,9.5,9.5,0,11.24,3.08
Sean Lampley,2001,44,77.5,NA,81.25,101,40,36,213,8,NA,NA,12,11.06,3.12
Will Blalock,2006,60,71.25,72.5,78,96.5,40,35,194,7.2,NA,NA,8,11.08,3.18
Derrick Rose,2008,1,73.5,74.5,80,98.5,40,34.5,196,4.6,NA,NA,10,11.69,3.05
Jason Gardner,2001,NA,69.75,,73.25,92.5,40,34.5,188,8,NA,NA,9,10.88,2.92
Deron Washington,2008,59,77.25,78.25,81,102.5,40,34,198.5,7.2,NA,NA,7,11.03,3.09
Jonny Flynn,2009,6,71.25,72.75,76,95.5,40,33,195.6,6.3,NA,NA,10,10.86,3.23
Allonzo Trier,2018,NA,75.75,77.25,78.75,98,40,32,198,4.95,8.25,10.5,11,11.02,3.14
Eric Gordon,2008,7,74,75.25,81,99,40,32,222,8.2,NA,NA,15,10.81,3.01
Isaiah Thomas,2011,60,68.75,70.25,73.75,91.5,40,31.5,186,6.7,8.25,9,13,10.49,3.14
Lonnie Walker,2018,NA,75.75,76.5,82.25,99.5,40,31.5,196.2,5.65,9,9.5,12,10.87,3.06
Terrico White,2010,36,75.75,77,81,101,40,31,202.6,3.7,9,10.5,10,11.38,3.15
Tyrus Thomas,2006,4,79.25,80.25,87,108,39.5,34,217,5.6,NA,NA,8,11.36,3.2
Mike Bell,2005,NA,80.75,81.25,85.5,104.5,39.5,33.5,206.2,NA,NA,NA,13,11.73,3.29
Gary Trent,2018,NA,76.25,77.75,80.75,98,39.5,33.5,204.2,7,8.5,9.5,12,11.37,3.12
Josh Smith,2004,17,79,80.25,84,106.5,39.5,32.5,221,6.7,NA,NA,12,11.43,3.24
T.J. Ford,2003,8,71,NA,71.5,93.5,39.5,32.5,162,6.7,NA,NA,0,11.45,3.2
Aaron Brooks,2007,26,70,71.75,76,94,39.5,32.5,161,2.7,NA,NA,6,10.57,3.2
Jason Richardson,2001,5,76.75,NA,83.5,102.5,39.5,32.5,213,5.3,NA,NA,15,11.75,3.12
Kemba Walker,2011,9,71.5,73,75.5,91.5,39.5,32,184,5.9,8,9,7,10.87,3.16
Jaylen Hands,2018,NA,73.5,74.75,77.5,98,39.5,31.5,179,5,8,8,6,12.11,3.13
Landry Shamet,2018,26,76,77.25,78.75,100,39.5,31,188.6,4.85,8,9,8,11.26,3.11
SirValiant Brown,2001,NA,71,,76,92.5,39.5,31,176,6.7,NA,NA,10,11.23,3
Dahntay Jones,2003,20,76.75,NA,81,102.5,39.5,30,214,2.6,NA,NA,NA,10.91,3.11
Cameron Oliver,2017,NA,79,80.25,85.25,106.5,39.5,28,238.6,7.7,9.5,10.25,5,12.17,3.16
Ekene Ibekwe,2007,NA,80,81,90,104,39,34.5,208,3.2,NA,NA,10,11,3.28
Ryan Carroll,2001,NA,76,,80.25,99,39,34.5,202,8,NA,NA,14,11,3.1
PJ Dozier,2017,NA,77.25,78.75,83,101,39,34,200.6,6.1,8.5,9.5,9,10.84,3.15
George Williams,2002,NA,77.75,,84.5,103,39,33.5,214,NA,NA,NA,11,11.21,3.24
Solomon Jones,2006,33,80.5,81.75,88.75,109,39,32,224,7.4,NA,NA,6,11.27,3.3
Shelvin Mack,2011,34,73,74.5,79.5,96.5,39,32,209,7.1,8.25,9.25,17,11.23,3.18
Jimmy Butler,2011,30,78,79.75,79.5,101.5,39,32,222.2,5.4,9,9,14,11.12,3.15
Ronnie Price,2005,NA,72.75,74.25,77.5,96.5,39,31.5,184.8,NA,NA,NA,11,10.49,3.29
Gerald Green,2005,18,78,79.25,81.75,104,39,31.5,192,NA,NA,NA,7,11.2,3.21
George King,2018,59,76.75,78,83.5,101.5,39,31,218.6,7.25,9,10.25,15,10.75,3.29
Mike Taylor,2008,55,72.75,74,79.25,98,39,31,166.2,3.8,NA,NA,2,10.98,3.08
Chris McCray,2006,NA,75,76,77.75,96.5,39,30.5,187,9.6,NA,NA,1,11.46,3.34
John Wall,2010,1,74.75,76,81.25,101.5,39,30,195.6,5.6,8.25,9.5,NA,10.84,3.14
Rodrigue Beaubois,2009,25,73.25,74.25,81.75,100,39,29.5,182.4,7.9,NA,NA,3,10.49,3.15
Eddie Gill,2000,NA,71.75,,76,93,38.5,35,176,NA,NA,NA,13,11.12,3.18
DeMarcus Nelson,2008,NA,73,74.25,82,98.5,38.5,34.5,198,4.5,NA,NA,19,10.54,3.13
David Noel,2006,39,76.5,78,81.5,100,38.5,34.5,223,6.1,NA,NA,20,10.54,3.07
Marshon Brooks,2011,25,76.25,77.25,85,101,38.5,34,194.6,5.2,9,10.5,5,10.74,3.09
Edrice Adebayo,2017,NA,80.75,81.75,86.75,108,38.5,33.5,242.6,5.2,9.5,8.75,12,11.94,3.24
Dominic James,2007,NA,70,71.75,74,93,38.5,33.5,175,4.8,NA,NA,14,10.94,3.11
Russell Carter,2007,NA,75,76.5,80.5,97.5,38.5,33,221,6,NA,NA,25,11.61,3.29
Richard Jefferson,2001,13,79.25,NA,84,103,38.5,33,223,6.7,NA,NA,14,11.19,3.15
Josh Powell,2003,NA,80,,85,107.5,38.5,32.5,227,8,NA,NA,15,11.72,3.2
Joe Alexander,2008,8,79.25,80.25,83.5,106,38.5,32.5,220,5.8,NA,NA,24,11.33,2.99
Luc Mbah a Moute,2008,37,77.75,79.5,86.5,103.5,38.5,32,221,7,NA,NA,11,11.71,3.17
Rodney Carney,2006,16,76.5,77.75,82,103.5,38.5,32,204,5.3,NA,NA,10,10.57,3.06
Luther Head,2005,24,74,75,77.25,98.5,38.5,31.5,178.8,NA,NA,NA,14,11.12,3.21
Armon Johnson,2010,34,74,75.25,80,99.5,38.5,31.5,195.2,5.6,8.25,9.25,18,11.25,3.19
Justin Love,2000,NA,73.5,,76.5,97.5,38.5,31,205.5,NA,NA,NA,24,10.99,3.31
Kobi Simmons,2017,NA,75.25,76.5,78,99,38.5,30.5,166.2,5,8.5,9.5,3,11.15,3.18
Steven Hunter,2001,15,82.25,NA,88,108,38.5,30.5,224,5.3,NA,NA,11,11.99,3.15
Eddie House,2000,37,71.75,NA,75.5,95,38.5,29.5,176.5,NA,NA,NA,5,11.12,3.27
Chase Budinger,2009,44,78.25,79,79,101,38.5,29.5,206.4,10,NA,NA,10,11.08,3.24
Norris Cole,2011,28,72.25,73.75,74.25,95.5,38.5,29.5,174.4,4.7,8.5,9.5,11,10.07,3.22
DeMar DeRozan,2009,9,77.5,78.5,81,102.5,38.5,29,211.2,4.9,NA,NA,5,11.88,3.31
Eric Coley,2000,NA,76,,83,102,38,35,205,NA,NA,NA,10,11.4,3.15
Dustin Salisbery,2007,NA,75,76.75,80,100.5,38,34,208,6.6,NA,NA,11,11.07,3.12
Schea Cotton,2000,NA,76.25,,79,100,38,34,219.5,NA,NA,NA,19,11.55,3
Jeff Green,2007,5,79,81.5,85.25,103,38,33.5,228,3.7,NA,NA,17,12,3.34
JaJuan Johnson,2011,27,81,82,86,107.5,38,33.5,219.8,7.5,9,10,15,11.21,3.14
Hakim Warrick,2005,19,79.25,80.5,86,108,38,33,215,NA,NA,NA,11,NA,3.22
Ron Lewis,2007,NA,74,76.5,78.5,99,38,33,194,4.5,NA,NA,16,11.59,3.22
Javaris Crittenton,2007,19,75,76.75,77.5,98,38,32.5,194,4.5,NA,NA,11,11.6,3.32
Bruce Brown,2018,42,75.5,77,81,98.5,38,32.5,194.6,3.75,8.5,8.5,17,11.11,3.2
Tamar Slay,2002,53,78.75,NA,83.5,104,38,32.5,203,NA,NA,NA,11,10.94,3.09
Randy Foye,2006,7,74.25,75.25,78.25,97,38,32,212,10,NA,NA,14,10.53,3.23
Elvin Mims,2002,NA,76.25,,85.5,105.5,38,32,211,NA,NA,NA,7,11.17,3.22
